LASTNAME,FIRSTNAME,PLAYERID,DAVENPORTCODE,MLBCODE,RETROSHEETCODE
Ausmus,Brad,3,AUSMUS19690414A,110385,ausmb001
Bagwell,Jeff,4,BAGWELL19680527A,110432,bagwj001
Berkman,Lance,6,BERKMAN19760210A,204020,berkl001
Biggio,Craig,7,BIGGIO19651214A,110987,biggc001
Blum,Geoff,8,BLUM19730426A,150398,blumg001
Borbon,Pedro,9,BORBON19671115A,111228,borbp001
Dotel,Octavio,14,DOTEL19731125A,136734,doteo001
Ensberg,Morgan,15,ENSBERG19750826A,348563,ensbm001
Everett,Adam,16,EVERETT19770202A,276361,evera001
Gordon,Tom,17,GORDON19671118A,114971,gordt001
Lane,Jason,24,LANE19761222A,407835,lanej001
Lidge,Brad,25,LIDGE19761223A,400058,lidgb001
Loretta,Mark,26,LORETTA19710814A,117928,lorem001
Merced,Orlando,29,MERCED19661102A,118958,merco002
Miller,Wade,30,MILLER19760913A,150063,millw001
Mlicki,Dave,31,MLICKI19680608A,119211,mlicd001
Munro,Peter,32,MUNRO19750614A,133729,munrp001
Oswalt,Roy,33,OSWALT19770829A,400061,oswar001
Puffer,Brandon,36,PUFFER19751005A,407836,puffb001
Redding,Tim,39,REDDING19780212A,400062,reddt001
Reynolds,Shane,40,REYNOLDS19680326A,121110,reyns001
Robertson,Jeriome,41,ROBERTSON19770330A,276359,robej001
Saarloos,Kirk,43,SAARLOOS19790523A,424164,saark001
Stone,Ricky,47,STONE19750228A,150392,stonr001
Vizcaino,Jose,48,VIZCAINO19680326A,123743,vizcj001
Wagner,Billy,49,WAGNER19710725A,123790,wagnb001
Ward,Daryle,50,WARD19750627A,132880,wardd002
Zaun,Gregg,52,ZAUN19710414A,124748,zaung001
Zinter,Alan,53,ZINTER19680519A,150043,zinta001
Blanco,Henry,57,BLANCO19710829A,111072,blanh001
Bong,Jung,59,BONG19800715A,407794,bongj001
Bragg,Darren,60,BRAGG19690907A,111369,bragd001
Castilla,Vinny,61,CASTILLA19670704A,112106,castv001
Dawley,Joey,64,DAWLEY19710919A,425307,dawlj001
DeRosa,Mark,65,DEROSA19750202A,136660,derom001
Ennis,John,67,ENNIS19791017A,407795,ennij001
Foster,John,69,FOSTER19780517A,407796,fostj001
Franco,Julio,70,FRANCO19580823A,212297,franj002
Franco,Matt,71,FRANCO19690819A,114376,franm001
Furcal,Rafael,73,FURCAL19771024A,279577,furcr001
Giles,Marcus,74,GILES19780518A,279578,gilem001
Glavine,Tom,75,GLAVINE19660325A,114849,glavt001
Gryboski,Kevin,77,GRYBOSKI19731115A,407839,grybk001
Hammond,Chris,78,HAMMOND19660121A,115391,hammc001
Helms,Wes,79,HELMS19760512A,136500,helmw001
Hodges,Trey,82,HODGES19780629A,408074,hodgt001
Holmes,Darren,83,HOLMES19660425A,116100,holmd001
Jones,Chipper,85,JONES19720424A,116706,jonec004
Jones,Andruw,86,JONES19770423A,116662,jonea002
Ligtenberg,Kerry,90,LIGTENBER19710511A,117763,ligtk001
Lockhart,Keith,91,LOCKHART19641110A,117854,lockk001
Lopez,Javy,92,LOPEZ19701105A,117919,lopej001
Lopez,Albie,93,LOPEZ19710818A,117913,lopea002
Maddux,Greg,95,MADDUX19660414A,118120,maddg002
Marquis,Jason,96,MARQUIS19780821A,150302,marqj001
Millwood,Kevin,100,MILLWOOD19741224A,119154,millk004
Moss,Damian,102,MOSS19761124A,150305,mossd001
Remlinger,Mike,105,REMLINGER19660323A,121060,remlm001
Sheffield,Gary,106,SHEFFIELD19681118A,122111,shefg001
Smoltz,John,107,SMOLTZ19670515A,122477,smolj001
Spooneybarger,Tim,108,SPOONEYBA19791021A,407486,spoot001
Surhoff,B.J.,109,SURHOFF19640804A,122989,surhb001
Alcantara,Israel,113,ALCANTARA19710506A,150161,alcai001
Bako,Paul,114,BAKO19720620A,132720,bakop001
Belliard,Ronnie,115,BELLIARD19750407A,150071,bellr002
Buddie,Mike,116,BUDDIE19701212A,133322,buddm001
DeJean,Mike,122,DEJEAN19700928A,113211,dejem001
De Los Santos,Valerio,123,DELOSSANT19721006A,136304,delov001
Diggins,Ben,125,DIGGINS19790613A,424947,diggb001
Durocher,Jayson,126,DUROCHER19740818A,284565,duroj001
Figueroa,Nelson,128,FIGUEROA19740518A,150153,figun001
Fox,Chad,130,FOX19700903A,114354,fox-c001
Ginter,Keith,131,GINTER19760505A,348562,gintk001
Hammonds,Jeffrey,134,HAMMONDS19710305A,115394,hammj001
Harris,Lenny,136,HARRIS19641028A,115529,harrl001
Jenkins,Geoff,139,JENKINS19740721A,132961,jenkg001
King,Ray,141,KING19740115A,150037,kingr001
Machado,Robert,144,MACHADO19730603A,118079,machr001
Nance,Shane,147,NANCE19770907A,424585,nancs001
Neugebauer,Nick,149,NEUGEBAUE19800715A,400302,neugn001
Osting,Jimmy,151,OSTING19770407A,275701,ostij001
Quevedo,Ruben,152,QUEVEDO19790105A,275935,quevr001
Rusch,Glendon,154,RUSCH19741107A,121556,ruscg001
Rushford,Jim,155,RUSHFORD19740324A,425106,rushj001
Sexson,Richie,157,SEXSON19741229A,122027,sexsr001
Sheets,Ben,158,SHEETS19780718A,282656,sheeb001
Stairs,Matt,159,STAIRS19680227A,122644,staim001
Vizcaino,Luis,161,VIZCAINO19740806A,150430,vizcl001
Benes,Andy,165,BENES19670820A,110854,benea001
Cairo,Miguel,167,CAIRO19740504A,111867,cairm001
Coolbaugh,Mike,169,COOLBAUGH19720605A,150086,coolm001
Crudale,Mike,170,CRUDALE19770103A,407866,crudm001
Cruz,Ivan,171,CRUZ19680503A,112905,cruzi001
Delgado,Wilson,172,DELGADO19720715A,113234,delgw001
Difelice,Mike,173,DIFELICE19690528A,113358,difem001
Drew,J.D.,174,DREW19751120A,136770,drewj001
Duff,Matt,175,DUFF19741006A,424685,duffm001
Edmonds,Jim,177,EDMONDS19700627A,113744,edmoj001
Fassero,Jeff,178,FASSERO19630105A,114032,fassj001
Finley,Chuck,179,FINLEY19621126A,114133,finlc001
Hackman,Luther,182,HACKMAN19741010A,235097,hackl001
Isringhausen,Jason,185,ISRINGHAU19720907A,116414,isrij001
Kline,Steve,190,KLINE19720822A,117157,klins002
Marrero,Eli,192,MARRERO19731117A,118305,marre001
Martinez,Tino,193,MARTINEZ19671207A,118362,martt002
Matheny,Mike,194,MATHENY19700922A,118414,mathm001
McDonald,Keith,195,MCDONALD19730208A,150461,mcdok001
Pujols,Albert,204,PUJOLS19800116A,405395,pujoa001
Renteria,Edgar,205,RENTERIA19750807A,121074,rente001
Robinson,Kerry,206,ROBINSON19731003A,137005,robik002
Rolen,Scott,207,ROLEN19750404A,121409,roles001
Simontacchi,Jason,208,SIMONTACC19731113A,421004,simoj001
Smith,Travis,209,SMITH19721107A,134000,smitt001
Stechschulte,Gene,210,STECHSCHU19730812A,276536,stecg001
Stephenson,Garrett,211,STEPHENSO19720102A,122751,stepg001
Taguchi,So,213,TAGUCHI19690702A,408039,tagus001
Veres,Dave,214,VERES19661019A,123707,vered001
Vina,Fernando,215,VINA19690416A,123726,vinaf001
White,Rick,216,WHITE19681223A,124184,whitr002
Wright,Jamey,219,WRIGHT19741224A,124604,wrigj001
Alfonseca,Antonio,220,ALFONSECA19720416A,110134,alfoa001
Alou,Moises,221,ALOU19660703A,110189,aloum001
Bellhorn,Mark,223,BELLHORN19740823A,110840,bellm002
Beltran,Francis,224,BELTRAN19791129A,407779,beltf001
Benes,Alan,225,BENES19720121A,110853,benea002
Bere,Jason,226,BERE19710526A,110891,berej002
Borowski,Joe,227,BOROWSKI19710504A,111244,boroj001
Brown,Roosevelt,228,BROWN19750803A,150032,browr001
Choi,Hee Seop,232,CHOI19790316A,400292,choih001
Clement,Matt,234,CLEMENT19740812A,136725,clemm001
Cunnane,Will,237,CUNNANE19740424A,112940,cunnw001
Echevarria,Angel,240,ECHEVARRI19710525A,113724,echea001
Farnsworth,Kyle,241,FARNSWORT19760414A,150035,farnk001
Girardi,Joe,243,GIRARDI19641014A,114833,giraj001
Hermansen,Chad,249,HERMANSEN19770910A,150252,hermc001
Hundley,Todd,251,HUNDLEY19690527A,116316,hundt001
Lieber,Jon,256,LIEBER19700402A,117758,liebj001
Mahomes,Pat,257,MAHOMES19700809A,118163,mahop001
McGriff,Fred,258,MCGRIFF19631031A,118730,mcgrf001
Ojeda,Augie,262,OJEDA19741220A,324432,ojeda001
Orie,Kevin,263,ORIE19720901A,120047,oriek001
Patterson,Corey,264,PATTERSON19790813A,279913,pattc001
Prior,Mark,265,PRIOR19800907A,407578,priom001
Smyth,Steve,270,SMYTH19780603A,407790,smyts001
Sosa,Sammy,271,SOSA19681112A,122544,sosas001
Stynes,Chris,272,STYNES19730119A,122918,stync001
Wood,Kerry,275,WOOD19770616A,134268,woodk002
Zambrano,Carlos,277,ZAMBRANO19810601A,407296,zambc001
Barajas,Rod,280,BARAJAS19750905A,150148,barar001
Batista,Miguel,282,BATISTA19710219A,110683,batim001
Bautista,Danny,283,BAUTISTA19720524A,110712,bautd001
Bell,Jay,285,BELL19651211A,110826,bellj001
Cintron,Alex,287,CINTRON19781217A,400090,cinta001
Colbrunn,Greg,288,COLBRUNN19690726A,112461,colbg001
Counsell,Craig,290,COUNSELL19700821A,112736,counc001
Dellucci,David,292,DELLUCCI19731031A,113240,delld001
Durazo,Erubiel,294,DURAZO19740123A,220194,durae001
Fetters,Mike,295,FETTERS19641219A,114097,fettm001
Finley,Steve,296,FINLEY19650312A,114135,finls001
Grace,Mark,300,GRACE19640628A,115007,gracm001
Helling,Rick,303,HELLING19701215A,115727,hellr001
Kim,Byung-Hyun,306,KIM19790121A,218294,kim-b001
Koplove,Mike,307,KOPLOVE19760830A,407377,koplm001
Mantei,Matt,309,MANTEI19730707A,118256,mantm001
McCracken,Quinton,310,MCCRACKEN19700316A,118609,mccrq001
Moeller,Chad,311,MOELLER19750218A,150224,moelc001
Myers,Rodney,313,MYERS19690626B,119629,myerr002
Oropesa,Eddie,317,OROPESA19711123A,400280,orope001
Overbay,Lyle,318,OVERBAY19770128A,407489,overl001
Patterson,John,319,PATTERSON19780130A,279568,pattj004
Prinz,Bret,321,PRINZ19770615A,400092,prinb001
Reynoso,Armando,322,REYNOSO19660501A,121117,reyna001
Schilling,Curt,323,SCHILLING19661114A,121811,schic002
Spivey,Junior,324,SPIVEY19750128A,150160,spivj001
Swindell,Greg,326,SWINDELL19650102A,123057,swing001
Womack,Tony,332,WOMACK19690925A,124523,womat001
Allen,Luke,335,ALLEN19780804A,282598,allel001
Ashby,Andy,337,ASHBY19670711A,110351,ashba002
Beirne,Kevin,339,BEIRNE19740101A,150312,beirk001
Cabrera,Jolbert,343,CABRERA19721208A,132660,cabrj002
Carrara,Giovanni,344,CARRARA19680304A,112030,carrg001
Chen,Chin-Feng,345,CHEN19771028A,282600,chenc001
Cora,Alex,346,CORA19751018A,133321,coraa001
Daal,Omar,347,DAAL19720301A,112984,daalo001
Dreifort,Darren,349,DREIFORT19720503A,113554,dreid001
Gagne,Eric,351,GAGNE19760107A,150378,gagne001
Green,Shawn,353,GREEN19721110A,115094,grees001
Grissom,Marquis,354,GRISSOM19670417A,115174,grism001
Grudzielanek,Mark,355,GRUDZIELA19700630A,115210,grudm001
Hansen,Dave,358,HANSEN19681124A,115436,hansd001
Houston,Tyler,362,HOUSTON19710117A,116191,houst001
Ishii,Kazuhisa,363,ISHII19730909A,408193,ishik001
Izturis,Cesar,364,IZTURIS19800210A,285131,iztuc001
Karros,Eric,366,KARROS19671104A,116852,karre001
Kinkade,Mike,367,KINKADE19730506A,136726,kinkm001
Kreuter,Chad,368,KREUTER19640826A,117316,kreuc001
Lo Duca,Paul,369,LODUCA19720412A,134001,lodup001
Mota,Guillermo,372,MOTA19730725A,150407,motag001
Nomo,Hideo,373,NOMO19680831A,119827,nomoh001
Perez,Odalis,375,PEREZ19770611A,136602,pereo001
Quantrill,Paul,377,QUANTRILL19681103A,120824,quanp001
Roberts,Dave,378,ROBERTS19720531A,150353,robed001
Ruan,Wilkin,380,RUAN19780918A,400118,ruanw001
Shuey,Paul,381,SHUEY19700916A,122201,shuep001
Thurston,Joe,382,THURSTON19790929A,407871,thurj001
Armas,Tony,384,ARMAS19780429A,150393,armat002
Bergeron,Peter,387,BERGERON19771109A,150395,bergp001
Brower,Jim,388,BROWER19721229A,150342,browj003
Carroll,Jamey,391,CARROLL19740218A,425206,carrj001
Cepicky,Matt,392,CEPICKY19771110A,407828,cepim001
Chavez,Endy,393,CHAVEZ19780207A,346795,chave002
Colon,Bartolo,395,COLON19730524A,112526,colob001
Cordero,Wil,396,CORDERO19711003A,112680,cordw001
Day,Zach,397,DAY19780615A,400180,day-z001
Downs,Scott,398,DOWNS19760317A,275933,downs001
Drew,Tim,399,DREW19780831A,282328,drewt001
Eischen,Joey,400,EISCHEN19700525A,113784,eiscj001
Galarraga,Andres,401,GALARRAGA19610618A,114526,galaa001
Gonzalez,Dicky,402,GONZALEZ19781221A,276508,gonzd002
Guerrero,Wilton,403,GUERRERO19741024A,115224,guerw001
Guerrero,Vladimir,404,GUERRERO19760209A,115223,guerv001
Herges,Matt,406,HERGES19700401A,150382,hergm001
Kim,Sun-Woo,410,KIM19770904A,279615,kim-s001
Mateo,Henry,414,MATEO19761014A,400116,mateh001
Ohka,Tomokazu,415,OHKA19760318A,219594,ohkat001
Reames,Britt,417,REAMES19730819A,337392,reamb001
Schneider,Brian,419,SCHNEIDER19761126A,150411,schnb001
Stewart,Scott,423,STEWART19750814A,400305,stews003
Tatis,Fernando,424,TATIS19750101A,123107,tatif001
Tucker,T.J.,425,TUCKER19780820A,324892,tuckt001
Vazquez,Javier,427,VAZQUEZ19760725A,134320,vazqj001
Vidro,Jose,428,VIDRO19740827A,123723,vidrj001
Wilkerson,Brad,430,WILKERSON19770601A,150415,wilkb002
Yoshii,Masato,431,YOSHII19650420A,134180,yoshm001
Ainsworth,Kurt,432,AINSWORTH19780909A,215128,ainsk001
Aurilia,Rich,433,AURILIA19710902A,110383,aurir001
Benard,Marvin,435,BENARD19700120A,110847,benam001
Bonds,Barry,436,BONDS19640724A,111188,bondb001
Eyre,Scott,442,EYRE19720530A,113961,eyres001
Fultz,Aaron,445,FULTZ19730904A,150269,fulta001
Goodwin,Tom,446,GOODWIN19680727A,114961,goodt001
Hernandez,Livan,450,HERNANDEZ19750220A,115817,hernl003
Kent,Jeff,453,KENT19680307A,116999,kentj001
Lofton,Kenny,455,LOFTON19670531A,117863,loftk001
Lunsford,Trey,457,LUNSFORD19790525A,408064,lunst001
Mueller,Bill,460,MUELLER19710317A,119482,muelb001
Nathan,Joe,461,NATHAN19741122A,150274,nathj001
Nen,Robb,462,NEN19691128A,119718,nen-r001
Ortiz,Russ,464,ORTIZ19740605A,133460,ortir001
Rueter,Kirk,467,RUETER19701201A,121541,ruetk001
Sanders,Reggie,468,SANDERS19671201A,121673,sandr002
Schmidt,Jason,471,SCHMIDT19730129A,121834,schmj001
Shinjo,Tsuyoshi,472,SHINJO19720128A,400101,shint001
Snow,J.T.,473,SNOW19680226A,122497,snowj001
Torcato,Tony,475,TORCATO19791025A,407378,torct001
Torrealba,Yorvit,476,TORREALBA19780719A,150275,torry001
Witasick,Jay,480,WITASICK19720828A,124482,witaj001
Worrell,Tim,481,WORRELL19670705A,124580,worrt002
Zerbe,Chad,482,ZERBE19720427A,345792,zerbc001
Almanza,Armando,484,ALMANZA19721026A,150355,almaa001
Banks,Brian,486,BANKS19700928A,110532,bankb001
Beckett,Josh,489,BECKETT19800515A,277417,beckj002
Burnett,A.J.,493,BURNETT19770103A,150359,burna001
Bush,Homer,494,BUSH19721112A,111792,bushh001
Darensbourg,Vic,498,DARENSBOU19701113A,133240,darev001
Encarnacion,Juan,499,ENCARNACI19760308A,113845,encaj001
Fox,Andy,501,FOX19710112A,114353,fox-a001
Johnson,Charles,506,JOHNSON19710720A,116569,johnc002
Knotts,Gary,507,KNOTTS19770212A,276352,knotg001
Lee,Derrek,508,LEE19750906A,117601,lee-d002
Lloyd,Graeme,509,LLOYD19670409A,117841,lloyg001
Looper,Braden,510,LOOPER19741028A,131702,loopb001
Lowell,Mike,511,LOWELL19740224A,136780,lowem001
Mairena,Oswaldo,513,MAIRENA19740630A,342192,mairo001
Millar,Kevin,515,MILLAR19710924A,132788,millk005
Neal,Blaine,517,NEAL19780406A,346862,nealb001
Nunez,Vladimir,518,NUNEZ19750315A,136727,nunev001
Nunez,Abraham,519,NUNEZ19770205A,346863,nunea002
Olsen,Kevin,520,OLSEN19760726A,407485,olsek001
Owens,Eric,521,OWENS19710203A,120140,owene001
Ozuna,Pablo,522,OZUNA19740825A,150367,ozunp001
Pavano,Carl,523,PAVANO19760108A,134321,pavac001
Penny,Brad,524,PENNY19780524A,207267,pennb002
Redmond,Mike,525,REDMOND19710505A,133226,redmm001
Tavarez,Julian,530,TAVAREZ19730522A,123118,tavaj001
Tejera,Michael,531,TEJERA19761018A,150373,tejem001
Teut,Nate,532,TEUT19760311A,400137,teutn001
Wayne,Justin,533,WAYNE19790416A,400306,waynj001
Wilson,Preston,536,WILSON19740719A,133343,wilsp002
Alfonzo,Edgardo,538,ALFONZO19731108A,110135,alfoe001
Alomar,Roberto,539,ALOMAR19680205A,110183,alomr001
Astacio,Pedro,540,ASTACIO19691128A,110359,astap001
Bacsik,Mike,541,BACSIK19771111A,407194,bacsm001
Benitez,Armando,544,BENITEZ19721103A,110859,benia001
Burnitz,Jeromy,547,BURNITZ19690415A,111742,burnj001
Cedeno,Roger,548,CEDENO19740816A,112155,ceder001
Cerda,Jaime,549,CERDA19781026A,407881,cerdj001
Christensen,McKay,550,CHRISTENS19750814A,150316,chrim002
Clark,Brady,551,CLARK19730418A,276054,clarb003
Guthrie,Mark,559,GUTHRIE19650922A,115260,guthm001
Komiyama,Satoru,565,KOMIYAMA19650915A,407894,komis001
Leiter,Al,566,LEITER19651023A,117652,leita001
McEwing,Joe,568,MCEWING19721019A,136607,mcewj001
Middlebrook,Jason,569,MIDDLEBRO19750626A,276525,middj001
Ordonez,Rey,570,ORDONEZ19710111A,120045,ordor001
Perez,Timo,571,PEREZ19750408A,340392,peret004
Phillips,Jason,573,PHILLIPS19760927A,282993,philj003
Roberts,Grant,578,ROBERTS19770913A,150241,robeg001
Scutaro,Marco,579,SCUTARO19751030A,340192,scutm001
Seo,Jae Weong,581,SEO19770524A,150242,seo-j001
Snead,Esix,582,SNEAD19760607A,400109,sneae001
Strickland,Scott,584,STRICKLAN19760426A,232994,stris001
Thomson,John,585,THOMSON19731001A,123307,thomj005
Trachsel,Steve,586,TRACHSEL19701031A,123431,tracs001
Valentin,John,587,VALENTIN19670218A,123608,valej002
Vaughn,Mo,588,VAUGHN19671215A,123678,vaugm001
Walker,Tyler,589,WALKER19760515A,400104,walkt003
Weathers,Dave,591,WEATHERS19690925A,124000,weatd001
Wigginton,Ty,592,WIGGINTON19771011A,421064,wiggt001
Wilson,Vance,593,WILSON19730317A,136300,wilsv001
Burroughs,Sean,603,BURROUGHS19800912A,284568,burrs001
Bynum,Mike,604,BYNUM19780320A,407803,bynum001
Condrey,Clay,606,CONDREY19751119A,424925,condc001
Crespo,Cesar,607,CRESPO19790523A,406678,cresc001
Cruz,Deivi,608,CRUZ19721106A,112897,cruzd001
Cyr,Eric,609,CYR19790211A,407804,cyr-e001
DeHaan,Kory,610,DEHAAN19760716A,276527,dehak001
Fikac,Jeremy,613,FIKAC19750408A,407235,fikaj001
Gant,Ron,615,GANT19650302A,114567,gantr001
Gonzalez,Wiki,618,GONZALEZ19740517A,150435,gonzw001
Hoffman,Trevor,620,HOFFMAN19671013A,116034,hofft001
Howard,Ben,621,HOWARD19790115A,407806,howab001
Jarvis,Kevin,623,JARVIS19690801A,116496,jarvk001
Kingsale,Gene,627,KINGSALE19760820A,117094,kingg001
Klesko,Ryan,628,KLESKO19710612A,117148,klesr001
Kotsay,Mark,629,KOTSAY19751202A,117276,kotsm001
Lampkin,Tom,630,LAMPKIN19640304A,117442,lampt001
Lankford,Ray,631,LANKFORD19670605A,117484,lankr001
Lawrence,Brian,632,LAWRENCE19760514A,400147,lawrb001
Nevin,Phil,636,NEVIN19710119A,119732,nevip001
Peavy,Jake,638,PEAVY19810531A,408241,peavj001
Perez,Oliver,639,PEREZ19810815A,424144,pereo002
Tankersley,Dennis,643,TANKERSLE19790224A,407807,tankd001
Tollberg,Brian,644,TOLLBERG19720916A,328092,tollb001
Tomko,Brett,645,TOMKO19730407A,123387,tomkb001
Trammell,Bubba,646,TRAMMELL19711106A,123438,tramb001
Trujillo,J.J.,647,TRUJILLO19751009A,408243,trujj001
Vazquez,Ramon,648,VAZQUEZ19760821A,407496,vazqr001
Villafuerte,Brandon,649,VILLAFUER19751217A,276344,villb001
Abreu,Bobby,650,ABREU19740311A,110029,abreb001
Anderson,Marlon,652,ANDERSON19740106A,136724,andem003
Bottalico,Ricky,653,BOTTALICO19690826A,111262,bottr001
Burrell,Pat,655,BURRELL19761010A,150100,burrp001
Byrd,Marlon,656,BYRD19770830A,407781,byrdm001
Coggin,Dave,658,COGGIN19761030A,150102,coggd001
Cormier,Rheal,659,CORMIER19670423A,112690,cormr001
Duckworth,Brandon,660,DUCKWORTH19760123A,346855,duckb001
Estrada,Johnny,662,ESTRADA19760627A,283051,estrj001
Giambi,Jeremy,664,GIAMBI19740930A,136605,giamj002
Glanville,Doug,665,GLANVILLE19700825A,114844,gland001
Hollins,Dave,666,HOLLINS19660525A,116083,holld001
Junge,Eric,667,JUNGE19770105A,407784,junge001
Ledee,Ricky,668,LEDEE19731122A,133342,leder001
Lee,Travis,669,LEE19750526A,134162,lee-t002
Lieberthal,Mike,671,LIEBERTHA19720118A,117759,liebm001
Mercado,Hector,674,MERCADO19740429A,280059,merch002
Michaels,Jason,676,MICHAELS19760504A,346859,michj001
Myers,Brett,677,MYERS19800817A,408206,myerb001
Padilla,Vicente,679,PADILLA19770927A,218894,padiv001
Perez,Tomas,681,PEREZ19731229A,120416,peret003
Person,Robert,682,PERSON19690108A,120447,persr001
Plesac,Dan,683,PLESAC19620204A,120624,plesd001
Polanco,Placido,684,POLANCO19751010A,135784,polap001
Pratt,Todd,685,PRATT19670209A,120747,pratt001
Punto,Nick,686,PUNTO19771108A,346857,puntn001
Roa,Joe,687,ROA19711011A,121258,roa-j001
Smith,Bud,692,SMITH19791023A,406873,smitb004
Timlin,Mike,694,TIMLIN19660310A,123348,timlm001
Valent,Eric,696,VALENT19770404A,346858,valee002
Wendell,Turk,697,WENDELL19670519A,124084,wendt001
Wolf,Randy,698,WOLF19760822A,150116,wolfr001
Alvarez,Tony,700,ALVAREZ19780510A,407887,alvat002
Arroyo,Bronson,702,ARROYO19770224A,276520,arrob001
Beimel,Joe,703,BEIMEL19770419A,346847,beimj001
Benson,Kris,705,BENSON19741107A,150249,bensk001
Boehringer,Brian,706,BOEHRINGE19700108A,111145,boehb001
Brown,Adrian,708,BROWN19740207A,111531,browa001
Cota,Humberto,712,COTA19790207A,276521,cotah001
Davis,J.J.,713,DAVIS19781025A,400051,davij004
Fogg,Josh,716,FOGG19761213A,150319,foggj001
Giles,Brian,717,GILES19710120A,114789,gileb002
Hyzdu,Adam,723,HYZDU19711206A,283210,hyzda001
Kendall,Jason,724,KENDALL19740626A,116974,kendj001
Lincoln,Mike,725,LINCOLN19750410A,150221,lincm001
Mackowiak,Rob,726,MACKOWIAK19760620A,406670,mackr001
Manzanillo,Josias,727,MANZANILL19671016A,118268,manzj001
McKnight,Tony,728,MCKNIGHT19770629A,150062,mcknt001
Osik,Keith,733,OSIK19681022A,120092,osikk001
Ramirez,Aramis,734,RAMIREZ19780625A,133380,ramia001
Reese,Pokey,736,REESE19730610A,121009,reesp001
Reyes,Al,737,REYES19710410A,121099,reyea001
Rios,Armando,738,RIOS19710913A,136608,riosa001
Sanchez,Duaner,740,SANCHEZ19791014A,400093,sancd001
Sauerbeck,Scott,741,SAUERBECK19711109A,150261,saues001
Torres,Salomon,743,TORRES19720311A,123415,torrs001
Villone,Ron,745,VILLONE19700116A,123725,villr001
Vogelsong,Ryan,746,VOGELSONG19770722A,285064,voger001
Wells,Kip,747,WELLS19770421A,150337,wellk001
Boone,Aaron,758,BOONE19730309A,111213,boona001
Branyan,Russell,759,BRANYAN19751219A,137140,branr001
Casey,Sean,760,CASEY19740702A,112087,cases001
Chen,Bruce,762,CHEN19770619A,136600,chenb001
Dawkins,Gookie,765,DAWKINS19790512A,235194,dawkt001
Dempster,Ryan,766,DEMPSTER19770503A,133225,dempr002
Dessens,Elmer,767,DESSENS19720113A,113296,desse001
Dunn,Adam,769,DUNN19791109A,276055,dunna001
Estes,Shawn,771,ESTES19730218A,113915,estes001
Fernandez,Jared,772,FERNANDEZ19720202A,220594,fernj002
Graves,Danny,774,GRAVES19730807A,115056,gravd001
Hamilton,Joey,779,HAMILTON19700909A,115383,hamij002
Haynes,Jimmy,780,HAYNES19720905A,115649,haynj001
Hudson,Luke,782,HUDSON19770502A,346873,hudsl001
Kearns,Austin,783,KEARNS19800520A,400290,keara001
Larkin,Barry,785,LARKIN19640428A,117501,larkb001
Larson,Brandon,786,LARSON19760524A,276053,larsb001
LaRue,Jason,787,LARUE19740319A,150178,laruj001
Mateo,Ruben,789,MATEO19780210A,150288,mater001
Miller,Corky,790,MILLER19760318A,280061,millc001
Moehler,Brian,791,MOEHLER19711231A,119215,moehb001
Pena,Wily Mo,795,PENA19820123A,276377,penaw001
Pineda,Luis,796,PINEDA19741017A,400079,pinel001
Reitsma,Chris,797,REITSMA19771231A,277410,reitc001
Riedling,John,798,RIEDLING19750829A,150180,riedj001
Rijo,Jose,799,RIJO19650513A,121206,rijoj001
Stinnett,Kelly,803,STINNETT19700204A,122803,stink001
Walker,Todd,806,WALKER19730525A,123842,walkt002
White,Gabe,807,WHITE19711120A,124171,whitg001
Williamson,Scott,808,WILLIAMSO19760217A,150182,wills002
Barnes,John,811,BARNES19760424A,348561,barnj001
Bennett,Gary,812,BENNETT19720417A,110870,benng001
Butler,Brent,817,BUTLER19780211A,150450,butlb002
Chacon,Shawn,819,CHACON19771223A,276336,chacs001
Cust,Jack,822,CUST19790116A,400091,custj001
Fuentes,Brian,830,FUENTES19750809A,150118,fuenb001
Hampton,Mike,831,HAMPTON19720909A,115399,hampm001
Helton,Todd,834,HELTON19730820A,115732,heltt001
Jennings,Jason,835,JENNINGS19780717A,407298,jennj001
Jones,Todd,837,JONES19680424A,116734,jonet003
Kapler,Gabe,838,KAPLER19750831A,137002,kaplg001
Mercker,Kent,842,MERCKER19680201A,118967,merck001
Neagle,Denny,843,NEAGLE19680913A,119673,neagd001
Norton,Greg,844,NORTON19720706A,119853,nortg001
Payton,Jay,846,PAYTON19721122A,134341,paytj001
Petrick,Ben,847,PETRICK19770407A,150052,petrb001
Pierre,Juan,849,PIERRE19770814A,334393,pierj002
Romano,Jason,851,ROMANO19790624A,400099,romaj002
Shumpert,Terry,853,SHUMPERT19660816A,122205,shumt001
Speier,Justin,854,SPEIER19731106A,133221,speij001
Stark,Dennis,855,STARK19741027A,150128,stard001
Uribe,Juan,858,URIBE19790722A,346874,uribj002
Vance,Cory,859,VANCE19790620A,425246,vancc001
Zeile,Todd,862,ZEILE19650909A,124755,zeilt001
Amezaga,Alfredo,863,AMEZAGA19780116A,407792,ameza001
Anderson,Garret,864,ANDERSON19720630A,110236,andeg001
Appier,Kevin,866,APPIER19671206A,110293,appik001
Callaway,Mickey,869,CALLAWAY19750513A,209068,callm001
Davanon,Jeff,872,DAVANON19731208A,237800,davaj001
Donnelly,Brendan,873,DONNELLY19710704A,407791,donnb001
Eckstein,David,874,ECKSTEIN19750120A,275930,ecksd001
Erstad,Darin,875,ERSTAD19740604A,113889,erstd001
